FINAL_FOLDER_NAME,TESTSET_NAME,TESTSET_ID,TEST_INSTANCE_UNIQUE_ID,TEST_NAME,RESPONSIBLE_TESTER,TESTINSTANCE_STATUS,RUN_ID,EXECUTION_DATE,RUN_STATUS,DEFECT_ID,AR_NUMBER,DEFECT_BY,DEFECT_STATUS,LINKED_AR_STATUS,LINKED_AR_STATUS_DETAILS,LASTRUN_FLAG,TAGS
I54,Stage_1_Reprotection after Planed Failover,6206,33324,Reprotection after Planed Failover,liw27,Running,362409,2018/10/26 0:00,Failed,10493,MDT-48179,liw27,Open,,,0,C1072
I54,Stage_1_Block Asynchronous Replication,5765,31385,Block Asynchronous Replication,tiand3,Failed,362365,2018/10/26 0:00,Failed,10476,MDT-48149,tiand3,Open,,,0,C619
I164_I39_I167,stage_1_Dedupe_Compress IO VMs in different stroage containers  when pull_insert drive,5988,33104,Dedupe_Compress IO VMs in different stroage containers  when pull_insert drive,chene10,Failed,362393,2018/10/26 0:00,Failed,10478,MDT-48153,chene10,Open,,,0,C235_C234
I181,Stage_2_Clones from CGs and Volumes_Refresh_Restore,6201,33321,Clones from CGs and Volumes Refresh and Restore,liw27,Failed,362442,2018/10/26 0:00,Failed,10483,MDT-48169,liw27,Open,,,0,C1015_C623_C622_C628
I58,Stage_2_Variable Operations of Block Volumes_SAN,6018,33041,Variable Operations of Block Volumes_SAN,tiand3,Passed,357289,2018/10/22 0:00,Failed,10259,MDT-47679,tiand3,Open,,,0,C408
I41,Stage_1_Create_Delete_Modify VVol Datastores,6036,33131,Create_Delete_Modify VVol Datastores,chenn8,Passed,350516,2018/10/16 0:00,Failed,10271,MDT-47033,longp3,New,,,0,C318_C577_C179
I51,Stage_2_Unified+ Cluster add unified+ appliance,8070,45478,Unified+ Cluster add unified+ appliance,longp3,Failed,358351,2018/10/22 0:00,Failed,10272,MDT-47296,longp3,New,,,0,
I164_I39_I167,stage_1_VM Deploy_Delete With Dedupe_compress IO,5999,33137,VM Deploy_Delete With Dedupe_Compress IO,chene10,Failed,347225,2018/10/12 0:00,Failed,10281,MDT-46588,chene10,New,,,0,C234_C235_C900
I164_I39_I167,stage_2_Dedupe_Compress IO VMs in different stroage containers  when pull_insert drive,5992,33110,Dedupe_Compress IO VMs in different stroage containers  when pull_insert drive,chene10,Failed,305241,2018/8/20 0:00,Failed,10282,MDT-42564,chene10,New,,,0,C235_C234
I180,Stage_1_VMware VM clone management from vSphere or ESXCLI (limit to 10 Clones in parallel),5756,33065,VMware VM clone management from vSphere or ESXCLI (limit to 10 Clones in parallel),lwang3,Passed,354994,2018/10/18 0:00,Failed,10283,MDT-47010,chenn8,New,,,0,C313
I180,Stage_1_Create Clone of a Virtual Machine from a snapshot VM,5983,33097,Create Clone of a Virtual Machine from a snapshot VM,lwang3,Passed,358364,2018/10/23 0:00,Failed,10283,MDT-47010,chenn8,New,,,0,C313
I164_I39_I167,stage_3_Modification and trim on large volume with dedupe_compress IO,5998,33133,Modification and trim on large volume with dedupe_compress IO,yanb,Failed,357761,2018/10/23 0:00,Failed,10317,MDT-47813,yanh3,Open,,,0,C234_C974_C1044
I164_I39_I167,stage_2_Massive object modifications expand_shrink_during IO running,5995,33125,Massive object modifications expand_shrink_during IO running,yanb,Failed,357299,2018/10/22 0:00,Failed,10221,MDT-47605,yanh3,Open,,,0,C234_C235_C900
I164_I39_I167,stage_3_Modification and trim on large volume with dedupe_compress IO,5998,33133,Modification and trim on large volume with dedupe_compress IO,yanb,Failed,357298,2018/10/22 0:00,Failed,10222,MDT-47608,yanh3,Open,,,0,C234_C974_C1044
